Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,23.607935754246498,23.627152177114564,23.432242495829797,23.502702713012695,9321000,0.0,0.0
2010-01-05 00:00:00-05:00,23.594212058624684,23.605192124528283,23.155892575134843,23.43315887451172,12906000,0.0,0.0
2010-01-06 00:00:00-05:00,23.46153497614326,23.46153497614326,23.119097152978377,23.399272918701172,10785000,0.015,0.0
2010-01-07 00:00:00-05:00,23.20150952868302,23.261939649663493,22.97993183629332,23.246374130249023,11273000,0.0,0.0
2010-01-08 00:00:00-05:00,23.1035358150934,23.340678992768705,23.045852764238667,23.25461196899414,8635000,0.0,0.0
2010-01-11 00:00:00-05:00,23.308633308691377,23.380965026734607,22.69609098960439,22.87188720703125,11171000,0.0,0.0
2010-01-12 00:00:00-05:00,22.85266059591991,23.15939019557199,22.758354127972886,22.85906982421875,8595000,0.0,0.0
2010-01-13 00:00:00-05:00,23.055920935091414,23.461535937162626,22.859065108588915,23.45329475402832,8585000,0.0,0.0
2010-01-14 00:00:00-05:00,23.46245189341401,23.97427671161604,23.302221213183092,23.849754333496094,12433000,0.0,0.0
2010-01-15 00:00:00-05:00,23.971534007434997,24.34418610460615,23.85616789670029,24.048444747924805,19419000,0.0,0.0
2010-01-19 00:00:00-05:00,24.034704829248174,24.71042418422696,23.961456274861987,24.2407169342041,14633000,0.0,0.0
2010-01-20 00:00:00-05:00,24.081406291987648,24.368906446435293,24.00724087122129,24.116199493408203,10211000,0.0,0.0
2010-01-21 00:00:00-05:00,24.130846314252107,24.446732164360913,23.449634496738057,23.66938018798828,14131000,0.0,0.0
2010-01-22 00:00:00-05:00,23.566829313420726,23.89644867824691,22.989080320138893,23.055919647216797,13251000,0.0,0.0
2010-01-25 00:00:00-05:00,23.201506973035325,23.277502605059347,22.751944155364033,23.114524841308594,10811000,0.0,0.0
2010-01-26 00:00:00-05:00,23.075149939016757,23.176782471583365,22.7116541902801,22.762928009033203,11194000,0.0,0.0
2010-01-27 00:00:00-05:00,22.860895966304764,23.47893053379731,22.739118913215922,23.46977424621582,10066000,0.0,0.0
2010-01-28 00:00:00-05:00,23.467026969923158,23.618103094056217,22.508386546560736,22.83983612060547,16120000,0.0,0.0
2010-01-29 00:00:00-05:00,22.996404745377827,23.360817305674775,22.806875006936448,22.881038665771484,15042000,0.0,0.0
2010-02-01 00:00:00-05:00,22.99366414945521,23.486259597351754,22.990000236577774,23.203336715698242,9329000,0.0,0.0
2010-02-02 00:00:00-05:00,23.45787530571282,23.467029847949725,23.055922443280018,23.12459373474121,13404000,0.0,0.0
2010-02-03 00:00:00-05:00,23.11452732329714,23.25644546154364,22.62101321467149,22.668624877929688,17961000,0.0,0.0
2010-02-04 00:00:00-05:00,21.45635496543892,21.565311827591895,20.224863001761587,20.336566925048828,108380000,0.0,0.0
2010-02-05 00:00:00-05:00,20.637797056452975,20.637797056452975,19.882420054439,20.211122512817383,58136000,0.0,0.0
2010-02-08 00:00:00-05:00,20.234931401654585,20.917975041090074,20.158935791587894,20.729358673095703,28165000,0.0,0.0
2010-02-09 00:00:00-05:00,20.930802218052687,20.93537949025165,20.41806041257415,20.45926284790039,16486000,0.0,0.0
2010-02-10 00:00:00-05:00,20.299033621621717,20.8630475535665,20.299033621621717,20.775150299072266,18326000,0.0,0.0
2010-02-11 00:00:00-05:00,20.775149426681757,20.99398006807377,20.584702763698775,20.967426300048828,12221000,0.0,0.0
2010-02-12 00:00:00-05:00,20.85296674388449,20.85296674388449,20.569128822383103,20.645124435424805,14838000,0.0,0.0
2010-02-16 00:00:00-05:00,20.747673192178397,20.89142324360508,20.555396387031248,20.628644943237305,17568000,0.0,0.0
2010-02-17 00:00:00-05:00,20.656110927388948,20.697313347143965,20.45742490630099,20.585609436035156,12500000,0.0,0.0
2010-02-18 00:00:00-05:00,20.53708744971857,20.53708744971857,20.290787978862515,20.32649803161621,17281000,0.0,0.0
2010-02-19 00:00:00-05:00,20.319167138523373,20.49954233046816,20.106745814302005,20.38417625427246,17620000,0.0,0.0
2010-02-22 00:00:00-05:00,20.40340497242413,20.779719142821463,20.40340497242413,20.53158950805664,10856000,0.0,0.0
